Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,University College School,Boys,Camden,Hampstead,NW3 6XH,19,7,Frognal,London,Other Independent School,526202,185414
,,The Cavendish School,Girls,Camden,,NW1 7HB,11,2,31 Inverness Street,London,Other Independent School,528739,183866
,,St Mary's School,Mixed,Camden,Hampstead,NW3 6PG,11,2,47 Fitzjohn's Avenue,London,Other Independent School,526543,185092
,,North Bridge House School,Mixed,Camden,,NW3 5RR,7,5,8 Netherhall Gardens,London,Other Independent School,526368,184811
,,Hereward House School,Boys,Camden,,NW3 4NY,12,5,14 Strathray Gardens,London,Other Independent School,527001,184495
,,St Anthony's Preparatory School,Boys,Camden,Hampstead,NW3 6NP,13,4,90 Fitzjohn's Avenue,London,Other Independent School,526536,185454
,,North Bridge House,Mixed,Camden,,NW3 5JY,6,2,33 Fitzjohn's Avenue,London,Other Independent School,526549,184913
,,Lyndhurst House Preparatory School,Boys,Camden,Hampstead,NW3 5NW,13,4,24 Lyndhurst Gardens,London,Other Independent School,526875,185297
Hampstead,,Hampstead Hill School,Mixed,Camden,Pond Street,NW3 2PP,8,2,St Stephens Hall,London,Other Independent School,527085,185400
,,North Bridge House Senior School,Mixed,Camden,,NW1 7AB,16,11,1 Gloucester Avenue,London,Other Independent School,528627,183598
,,Trevor-Roberts School,Mixed,Camden,,NW3 3ET,13,4,55-57 Eton Avenue,London,Other Independent School,526981,184414
,,South Hampstead High School,Girls,Camden,,NW3 5SS,18,4,3 Maresfield Gardens,London,Other Independent School,526491,184607
,,The Village School,Girls,Camden,Belsize Park,NW3 2YN,11,3,2 Parkhill Road,London,Other Independent School,527781,184808
,,Heathside Preparatory School,Mixed,Camden,Hampstead,NW3 1JA,11,3,16 New End,London,Other Independent School,526506,185985
,,Devonshire House Preparatory School,Mixed,Camden,Hampstead,NW3 6AE,13,2,2 Arkwright Road,London,Other Independent School,526456,185413
,,Broadhurst School,Mixed,Camden,,NW6 3LP,6,2,19 Greencroft Gardens,London,Other Independent School,526211,184422
Kentish Town,,College Francais Bilingue De Londres,Mixed,Camden,,NW5 3AX,15,5,87 Holmes Road,London,Other Independent School,528672,184981
,,Royal School Hampstead,Girls,Camden,Hampstead,NW3 5UD,16,3,65 Rosslyn Hill,London,Other Independent School,526640,185531
,,Fine Arts College,Mixed,Camden,Belsize Park,NW3 4PG,19,13,24 Lambolle Place,London,Other Independent School,527362,184681
,,Rainbow Montessori School,Mixed,Camden,,NW6 3PL,12,5,13 Woodchurch Road,London,Other Independent School,525526,184221
,,The Mulberry House School,Mixed,Camden,,NW2 3XL,7,2,68 Shoot Up Hill,London,Other Independent School,524350,185100
,,The Phoenix School,Mixed,Camden,,NW3 5LF,7,3,36 College Crescent,London,Other Independent School,526485,184553
,,Southbank International School,Mixed,Camden,,NW3 5TH,14,3,16 Netherhall Gardens,London,Other Independent School,526368,184950
,,Frank Barnes School for Deaf Children,Mixed,Camden,,N1C 4PF,11,2,105 Camley Street,London,Community Special School,526914,184112
,,Chalcot School,Boys,Camden,,NW1 8DP,16,11,Harmood Street,London,Community Special School,528594,184450
,,Royal Free Hospital Children's School,Mixed,Camden,Pond Street,NW3 2QG,19,5,Floor 6 - 6 West B,London,Community Special School,527297,185410
,,Swiss Cottage School - Development & Research Centre,Mixed,Camden,,NW8 6HX,19,2,80 Avenue Road,London,Community Special School,526914,184029
,,Rachel McMillan Nursery School,Mixed,Greenwich,Deptford,SE8 3EH,5,3,McMillan Street,London,LA Nursery School,537362,177674
,,Pound Park Nursery School,Mixed,Greenwich,Charlton,SE7 8AF,5,3,Pound Park Road,London,LA Nursery School,541837,178429
,,Abbey Wood Nursery School,Mixed,Greenwich,,SE2 0SX,5,3,Dahlia Road,London,LA Nursery School,546762,178508
,,Robert Owen Early Years Centre,Mixed,Greenwich,Greenwich,SE10 0EA,5,3,43 Commerell Street,London,LA Nursery School,539393,178453
Greenwich,,Newhaven Pupil Referral Unit,Mixed,Greenwich,Eltham,SE9 6HR,16,5,Newhaven Gardens,London,Pupil Referral Unit,541731,175472
,,Millennium Primary School,Mixed,Greenwich,Greenwich,SE10 0BG,11,3,50 John Harrison Way,London,Community School,539725,179099
,,Alderwood Primary School,Mixed,Greenwich,Eltham,SE9 2JH,11,3,Rainham Close,London,Community School,545054,174230
,,Bannockburn Primary School,Mixed,Greenwich,,SE18 1HE,11,3,Plumstead High Street,London,Community School,545529,178546
,,Morden Mount Primary School,Mixed,Greenwich,,SE13 7QP,11,3,Lewisham Road,London,Community School,538003,176437
,,Cherry Orchard Primary School,Mixed,Greenwich,Marlborough Lane,SE7 7DG,11,3,Rectory Field Crescent,London,Community School,541222,177219
,,Ealdham Primary School,Mixed,Greenwich,Eltham,SE9 6BP,11,3,Ealdham Square,London,Community School,541517,175119
,,Fossdene Primary School,Mixed,Greenwich,Charlton,SE7 7NQ,11,3,Victoria Way,London,Community School,540841,178110
,,Gallions Mount Primary School,Mixed,Greenwich,Plumstead,SE18 1JR,11,3,Purrett Road,London,Community School,545821,178268
,,Gordon Primary School,Mixed,Greenwich,Eltham,SE9 1QG,11,3,Earlshall Road,London,Community School,542832,175288
,,Greenacres Primary School and Language Impairment Unit,Mixed,Greenwich,Eltham,SE9 3JN,11,3,Witherston Way,London,Community School,543070,172575
,,Haimo Primary School,Mixed,Greenwich,Eltham,SE9 6DY,11,3,Haimo Road,London,Community School,541948,174911
,,Halstow Primary School,Mixed,Greenwich,Greenwich,SE10 0LD,11,5,Halstow Road,London,Community School,540019,178163
,,Henwick Primary School,Mixed,Greenwich,Eltham,SE9 6NZ,11,3,Henwick Road,London,Community School,542011,175689
,,Horn Park Primary School,Mixed,Greenwich,Lee,SE12 9BT,11,3,Alnwick Road,London,Community School,540826,173663
,,Invicta Primary School,Mixed,Greenwich,,SE3 7HE,11,3,Invicta Road,London,Community School,540412,177493
,,Kidbrooke Park Primary School,Mixed,Greenwich,Kidbrooke,SE3 8HS,11,3,Hargood Road,London,Community School,541246,176520
,,Meridian Primary School,Mixed,Greenwich,Greenwich,SE10 9NY,11,3,Old Woolwich Road,London,Community School,538861,177987
,,Plumcroft Primary School,Mixed,Greenwich,Plumstead,SE18 3HW,11,3,Plum Lane,London,Community School,544151,177486
,,Sherington Primary School,Mixed,Greenwich,Charlton,SE7 7JP,11,3,Wyndcliff Road,London,Community School,540764,177627
,,Thorntree Primary School,Mixed,Greenwich,,SE7 8AE,11,3,Thorntree Road,London,Community School,541865,178397
,,Woodhill Primary School,Mixed,Greenwich,,SE18 5JE,11,3,Woodhill,London,Community School,542375,178697
,,Wyborne Primary School,Mixed,Greenwich,New Eltham,SE9 2EH,11,3,Footscray Road,London,Community School,543932,173264
,,Brooklands Primary School,Mixed,Greenwich,Casterbridge Road,SE3 9AB,11,3,Medebourne Close,London,Community School,540311,175836
,,Montbelle Primary School,Mixed,Greenwich,Eltham,SE9 3EY,11,4,Milverton Way,London,Community School,543480,171884
,,Boxgrove Primary School,Mixed,Greenwich,Abbey Wood,SE2 9JP,11,3,Boxgrove Road,London,Community School,547069,179278
,,Rockliffe Manor Primary School,Mixed,Greenwich,,SE18 2NP,11,3,Bassant Road,London,Community School,545525,177585
,,De Lucy Primary School,Mixed,Greenwich,Abbey Wood,SE2 9PD,11,3,Cookhill Road,London,Community School,546656,179560
,,Wingfield Primary School,Mixed,Greenwich,,SE3 9XU,11,3,Moorehead Way,London,Community School,540576,175577
,,Cardwell Primary School,Mixed,Greenwich,Woolwich,SE18 5LP,11,3,Frances Street,London,Community School,542625,178829
,,Foxfield Primary School,Mixed,Greenwich,,SE18 7EX,11,3,Sandbach Place,London,Community School,544122,178461
,,Windrush Primary School,Mixed,Greenwich,Thamesmead,SE28 8AR,11,3,2 Bentham Road,London,Community School,546939,180338
,,Heronsgate Primary School,Mixed,Greenwich,,SE28 0EA,11,3,Whinchat Road,London,Community School,544736,179402
,,Linton Mead Primary School,Mixed,Greenwich,Thamesmead,SE28 8DT,11,3,Central Way,London,Community School,546738,180895
,,Nightingale Primary School,Mixed,Greenwich,Plumstead,SE18 7JJ,11,3,Bloomfield Road,London,Community School,543887,178056
,,Greenslade Primary School,Mixed,Greenwich,Plumstead Common,SE18 2QQ,11,3,Erindale,London,Community School,544981,177699
,,Mulgrave Primary School,Mixed,Greenwich,Woolwich,SE18 5DL,11,3,Rectory Place,London,Community School,543186,178646
,,Charlton Manor Primary School,Mixed,Greenwich,,SE7 7EF,11,3,Indus Road,London,Community School,541549,177353
,,Christ Church Church of England Primary School,Mixed,Greenwich,Greenwich,SE10 0DZ,11,4,45 Commerell Street,London,Voluntary Aided School,539398,178485
Shooters Hill,,"Christ Church Church of England Primary School, Shooters Hill",Mixed,Greenwich,Red Lion Lane,SE18 4LD,11,5,C/O Post 16 Campus,London,Voluntary Aided School,543337,177003
,,Eltham Church of England Primary School,Mixed,Greenwich,Eltham,SE9 1TR,11,4,Roper Street,London,Voluntary Aided School,542989,174524
,,Our Lady of Grace Catholic Primary School,Mixed,Greenwich,Charlton,SE7 7EZ,11,4,145 Charlton Road,London,Voluntary Aided School,540913,177594
,,St Joseph's Catholic Primary School,Mixed,Greenwich,,SE10 9AN,11,5,Commerell Street,London,Voluntary Aided School,539329,178289
,,St Margaret's Church of England Primary School,Mixed,Greenwich,Plumstead,SE18 7RL,11,3,St Margaret's Grove,London,Voluntary Aided School,544274,178095
,,Saint Mary Magdalene Church of England Primary School,Mixed,Greenwich,Woolwich,SE18 5PW,11,3,Kingsman Street,London,Voluntary Aided School,543204,178925
,,St Mary's Catholic Primary School,Mixed,Greenwich,Eltham,SE9 1UF,11,3,Glenure Road,London,Voluntary Aided School,543505,174748
,,St Patrick's Catholic Primary School,Mixed,Greenwich,Plumstead,SE18 7QG,11,3,Griffin Road,London,Voluntary Aided School,544893,178594
,,St Alfege with St Peter's Church of England Primary School,Mixed,Greenwich,Greenwich,SE10 9RB,11,3,3 - 11 Creek Road,London,Voluntary Aided School,538127,177732
,,St Peter's Catholic Primary School,Mixed,Greenwich,,SE18 7BN,11,5,Crescent Road,London,Voluntary Aided School,543728,178491
,,St Thomas More Catholic Primary School,Mixed,Greenwich,,SE9 6NS,11,4,Appleton Road,London,Voluntary Aided School,542156,175625
,,St Thomas A Beckett Roman Catholic Primary School,Mixed,Greenwich,Abbey Wood,SE2 9LY,11,3,Mottisfont Road,London,Voluntary Aided School,546166,179075
Greenwich,,Holy Family Catholic Primary School,Mixed,Greenwich,Kidbrooke,SE3 9YX,11,3,Tudway Road,London,Voluntary Aided School,541151,175396
,,Notre Dame Catholic Primary School,Mixed,Greenwich,,SE18 3SJ,11,5,169 Eglinton Road,London,Voluntary Aided School,543633,177821
,,St Margaret Clitherow Catholic Primary School,Mixed,Greenwich,Thamesmead,SE28 8GB,11,3,Cole Close,London,Voluntary Aided School,546767,180139
,,Bishop John Robinson Church of England Primary School,Mixed,Greenwich,Thamesmead,SE28 8LW,11,3,Hoveton Road,London,Voluntary Aided School,547142,180957
,,Eltham Hill School,Girls,Greenwich,,SE9 5EE,19,11,Eltham Hill,London,Community School,542250,174421
,,Plumstead Manor School,Girls,Greenwich,,SE18 1QF,19,11,Old Mill Road,London,Community School,544831,178057
,,Woolwich Polytechnic School for Boys,Boys,Greenwich,Thamesmead,SE28 8AT,19,11,Hutchins Road,London,Community School,546432,180397
,,Crown Woods College,Mixed,Greenwich,Eltham,SE9 2QN,18,11,145 Bexley Road,London,Community School,544345,174937
,,Thomas Tallis School,Mixed,Greenwich,Kidbrooke,SE3 9PX,19,11,Kidbrooke Park Road,London,Community School,540856,175919
,,The John Roan School,Mixed,Greenwich,Blackheath,SE3 7UD,18,11,Maze Hill,London,Voluntary Controlled School,539473,177429
,,St Ursula's Convent School,Girls,Greenwich,Greenwich,SE10 8HN,16,11,Crooms Hill,London,Voluntary Aided School,538590,177088
,,Blackheath Bluecoat Church of England School,Mixed,Greenwich,Blackheath,SE3 8SY,18,11,Old Dover Road,London,Voluntary Aided School,540926,177226
,,St Thomas More Roman Catholic Comprehensive School,Mixed,Greenwich,,SE9 2SU,16,11,Footscray Road,London,Voluntary Aided School,543353,174161
,,Hawksmoor School,Mixed,Greenwich,Thamesmead,SE28 8AS,11,3,Bentham Road,London,Foundation School,546726,180495
,,The Pointer School,Mixed,Greenwich,Blackheath,SE3 7TH,11,2,19 Stratheden Road,London,Other Independent School,540209,177029
,,Blackheath Preparatory School,Mixed,Greenwich,Blackheath,SE3 0NJ,11,3,4 St German's Place,London,Other Independent School,540095,176757
,,Riverston School,Mixed,Greenwich,Lee Green,SE12 8UF,17,2,63-69 Eltham Road,London,Other Independent School,540433,174828
,,St Olave's Preparatory School,Mixed,Greenwich,New Eltham,SE9 3QS,11,3,106-110 Southwood Road,London,Other Independent School,543704,172762
,,Colfes School,Mixed,Greenwich,Lee,SE12 8AW,18,3,Horn Park Lane,London,Other Independent School,540572,174309
,,Heath House Preparatory School,Mixed,Lewisham,Blackheath,SE3 0TG,11,3,37 Wemyss Road,London,Other Independent School,539675,176150
,,Moatbridge School,Boys,Greenwich,Eltham,SE9 5LX,16,11,Eltham Palace Road,London,Community Special School,541778,174205
,,Wentworth Nursery School and Children's Centre,Mixed,Hackney,,E9 5BY,5,3,Cassland Road,London,LA Nursery School,535916,184524
,,Comet Nursery School and Children's Centre,Mixed,Hackney,Hoxton,N1 5RF,5,3,20 Halcomb Street,London,LA Nursery School,533227,183661
,,Berger Primary School,Mixed,Hackney,Hackney,E9 6HB,11,3,Anderson Road,London,Community School,535671,184827
,,Colvestone Primary School,Mixed,Hackney,,E8 2LG,11,3,Colvestone Crescent,London,Community School,533631,185118
,,Daubeney Primary School,Mixed,Hackney,Clapton,E5 0EG,11,3,Daubeney Road,London,Community School,536126,185583
,,De Beauvoir Primary School,Mixed,Hackney,,N1 4BZ,11,3,Tottenham Road,London,Community School,533444,184690
,,Gainsborough Primary School,Mixed,Hackney,,E9 5ND,11,3,Berkshire Road,London,Community School,536980,184834
,,Lauriston School,Mixed,Hackney,,E9 7JS,11,3,Rutland Road,London,Community School,535636,183779
,,London Fields Primary School,Mixed,Hackney,,E8 3RL,11,3,Westgate Street,London,Community School,534642,183828
,,Millfields Community School,Mixed,Hackney,Hackney,E5 0SH,11,3,Hilsea Street,London,Community School,535218,185910
,,Morningside Primary School,Mixed,Hackney,Hackney,E9 6LL,11,3,Chatham Place,London,Community School,535292,184869
,,Northwold Primary School,Mixed,Hackney,Clapton,E5 8RN,11,3,Northwold Road,London,Community School,534289,186613
,,Orchard Primary School,Mixed,Hackney,Hackney,E9 7BB,11,3,Holcroft Road,London,Community School,535394,184242
Hackney,,Queensbridge Primary School,Mixed,Hackney,Dalston,E8 4ET,11,3,Albion Drive,London,Community School,533825,184027
,,Randal Cremer Primary School,Mixed,Hackney,Shoreditch,E2 8JG,11,3,Ormsby Street,London,Community School,533638,183358
,,Princess May Primary School,Mixed,Hackney,,N16 8DF,11,3,Princess May Road,London,Community School,533380,185516
,,Sebright School,Mixed,Hackney,Goldsmiths Row,E2 8QH,11,3,Audrey Street,London,Community School,534243,183445
,,Shacklewell Primary School,Mixed,Hackney,Hackney,E8 2EA,11,3,Shacklewell Row,London,Community School,533714,185576
,,Southwold Primary School,Mixed,Hackney,Clapton,E5 9NL,11,3,Detmold Road,Hackney,Community School,535010,186746
,,Thomas Fairchild Community School,Mixed,Hackney,Hoxton,N1 7HX,11,3,Forston Street,London,Community School,532494,183307
,,Tyssen Community Primary School,Mixed,Hackney,,N16 6QA,11,3,Oldhill Street,London,Community School,534111,187372
,,Whitmore Primary School,Mixed,Hackney,,N1 5JN,11,3,Bridport Place,London,Community School,532859,183527
,,Woodberry Down Community Primary School,Mixed,Hackney,Finsbury Park,N4 1SY,11,3,Woodberry Grove,London,Community School,532393,187810
,,Kingsmead Primary School,Mixed,Hackney,,E9 5PP,11,3,Kingsmead Way,London,Community School,536310,185685
,,Sir Thomas Abney School,Mixed,Hackney,Stoke Newington,N16 5ED,11,3,Fairholt Road,London,Community School,533018,187474
,,Grasmere Primary School,Mixed,Hackney,,N16 9PD,11,3,92 Albion Road,London,Community School,532960,185754
,,Jubilee Primary School,Mixed,Hackney,,N16 6NR,11,3,Filey Avenue,London,Community School,534149,187016
,,Nightingale Primary School,Mixed,Hackney,Hackney,E5 8PH,11,3,Rendlesham Road,London,Community School,534277,185987
,,Baden-Powell School,Mixed,Hackney,,E5 8DN,11,3,Ferron Road,London,Community School,534738,186059
Upper Clapton,,Harrington Hill Primary School,Mixed,Hackney,Mount Pleasant Lane,E5 9EY,11,3,Harrington Hill,London,Community School,534968,187170
,,Holmleigh Primary School,Mixed,Hackney,,N16 5PU,11,3,Dunsmure Road,London,Community School,533510,187449
,,Grazebrook Primary School,Mixed,Hackney,Stoke Newington,N16 0QP,11,3,Lordship Road,London,Community School,532963,186776
,,Parkwood Primary School,Mixed,Hackney,,N4 2HQ,11,3,Queen's Drive,London,Community School,531839,186844
,,Benthal Primary School,Mixed,Hackney,,N16 7AU,11,3,Benthal Road,London,Community School,534224,186153
,,Mandeville Primary School,Mixed,Hackney,Hackney,E5 0BT,11,3,Oswald Street,London,Community School,536002,186066
,,Holy Trinity Church of England Primary School,Mixed,Hackney,,E8 3DY,11,3,Beechwood Road,London,Voluntary Aided School,533644,184605
,,Our Lady and St Joseph Roman Catholic Primary School,Mixed,Hackney,,N1 4DG,11,3,Buckingham Road,London,Voluntary Aided School,533335,184592
,,St John the Baptist Voluntary Aided Church of England Primary School,Mixed,Hackney,,N1 6JG,11,3,Crondall Street,London,Voluntary Aided School,532997,183073
,,St Matthias Church of England Primary School,Mixed,Hackney,,N16 8DD,11,3,Wordsworth Road,London,Voluntary Aided School,533258,185524
,,St Monica's Roman Catholic Primary School,Mixed,Hackney,,N1 6NT,11,3,Hoxton Square,London,Voluntary Aided School,533177,182792
,,St Paul's with St Michael's Primary School,Mixed,Hackney,Hackney,E8 4PB,11,3,57a Brougham Road,London,Voluntary Aided School,534264,183839
,,St John of Jerusalem Church of England Primary School,Mixed,Hackney,,E9 7JF,11,3,Kingshold Road,London,Voluntary Aided School,535320,184155
,,"St Mary's Church of England Primary School, Stoke Newington",Mixed,Hackney,Stoke Newington,N16 0PP,11,3,Lordship Road,London,Voluntary Aided School,533102,186565
Clapton,,St Scholastica's Catholic Primary School,Mixed,Hackney,,E5 8BS,11,3,Kenninghall Road,London,Voluntary Aided School,534408,186210
,,Simon Marks Jewish Primary School,Mixed,Hackney,,N16 6PD,11,3,75 Cazenove Road,London,Voluntary Aided School,533974,186970
,,Haggerston School,Mixed,Hackney,Hackney,E2 8LS,19,11,Weymouth Terrace,London,Community School,533829,183266
Hackney,,Stoke Newington School and Sixth Form,Mixed,Hackney,,N16 9EX,19,11,Clissold Road,London,Community School,532927,186221
,,Our Lady's Convent Roman Catholic High School,Girls,Hackney,Stamford Hill,N16 5AF,18,11,6-16 Amhurst Park,London,Voluntary Aided School,533481,187911
,,The Urswick School - A Church of England Secondary School,Mixed,Hackney,Hackney,E9 6NR,19,11,Paragon Road,London,Voluntary Aided School,535046,184634
,,Cardinal Pole Roman Catholic School,Mixed,Hackney,Homerton,E9 5RB,19,11,Kenworthy Road,London,Voluntary Aided School,536208,185052
,,Yesodey Hatorah School,Mixed,Hackney,,N16 5AE,16,5,2-4 Amhurst Park,London,Other Independent School,533530,187905
,,Talmud Torah Yetev Lev,Boys,Hackney,,N16 6AX,12,2,111-115 Cazenove Road,London,Other Independent School,534258,187015
,,Bnois Jerusalem Girls School,Girls,Hackney,,N16 5DL,16,3,77-81 Amhurst Park,London,Other Independent School,532994,187930
,,Beis Rochel d'Satmar Girls' School,Mixed,Hackney,,N16 5DL,19,2,51-57 Amhurst Park,London,Other Independent School,533153,187929
,,Talmud Torah Machzikei Hadass School,Boys,Hackney,Clapton Common,E5 9AL,11,3,98 Clapton Common,London,Other Independent School,534172,187722
,,Beis Malka Girls' School,Girls,Hackney,,N16 6XD,16,3,93 Alkham Road,London,Other Independent School,533811,187086
,,Talmud Torah Chaim Meirim Wiznitz School,Boys,Hackney,,N16 6XB,13,2,26 Lampard Grove,London,Other Independent School,533841,187130
